,ID,D,E_Brent,BE_F,Water_Injected_opex,Opt_ActivacionBasica_a_ab,Opt_Activacion_e1,Opt_Activacion_e2,Opt_Activacion_e3,Opt_Activacion_e4,VPN_Basica_porta,VPN_incremental_porta,VPN_Basica,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,Volumenes
0,0,1,55,55.0,0.15,1,0,0,0,0,9863.1216,0,12370.8973,326759.3979,12370.8973,0.0,0,362962.4517,362962.4517,1.8137561119999979
1,1,1,55,55.0,0.2,1,0,0,0,0,9365.9994,0,11739.7333,326759.3979,11739.7333,0.0,0,371545.036,371545.036,1.8137561119999979
2,2,1,55,55.0,0.25,1,0,0,0,0,8868.8772,0,11242.6111,326759.3979,11242.6111,0.0,0,380127.6203,380127.6203,1.8137561119999979
3,3,1,55,55.0,0.3,1,0,0,0,0,8284.4341,0,10745.4889,326759.3979,10745.4889,0.0,0,388710.2046,388710.2046,1.8137561119999979
4,4,1,55,55.0,0.35,1,0,0,0,0,7851.7122,0,10248.3667,326759.3979,10248.3667,0.0,0,397292.789,397292.789,1.8137561119999979
5,5,1,55,82.56321285286039,0.15,1,0,0,0,1,9863.1216,-42142.2894,26774.2329,326759.3979,26774.2329,0.0,418200.628,362962.4517,788378.7196,21.78366081599998
6,6,1,55,83.62127192838349,0.2,1,0,0,0,1,9365.9994,-43561.1636,26682.4692,326759.3979,26682.4692,4.908359512963494e-10,418200.628,371545.036,812429.0433,21.78366081599998
7,7,1,55,84.67933090804289,0.25,1,0,0,0,1,8868.8772,-45218.2833,26590.7054,326759.3979,26590.7054,0.0,418200.628,380127.6203,836479.3671,21.78366081599998
8,8,1,55,85.68903379432865,0.3,1,0,0,0,1,8284.4341,-46531.9837,26412.3684,326759.3979,26412.3684,2.4419081123531354e-10,418200.628,388710.2046,860529.6908,21.78366081599998
9,9,1,55,86.77304458119542,0.35,1,0,0,0,1,7851.7122,-48254.5975,26367.0667,326759.3979,26367.0667,7.537756518580075e-11,418200.628,397292.789,884580.0145,21.78366081599998
