,ID,D,E_Brent,Water_Injected_opex,reuti_u,capex_h,opex_h,tarifa_h,produc_h,Opt_ActivacionBasica_a_ab,Opt_Activacion_e1,Opt_Activacion_e2,Opt_Activacion_e3,Opt_Activacion_e4,VPN_Basica_porta,VPN_incremental_porta,VPN_Basica,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,Volumenes,volumen_B_LE,volumen_I_LE,volumen_T_LE,volumen_B_LE_p,volumen_I_LE_p,volumen_T_LE_p,LE_year_p,LE_year_b,lc_p,lc_b,dc_p,dc_b,opex_ing_p,capex_ing_p,impuesto_ing_p,ingreso_ing_p,abandono_ing_p,opex_ing_b,capex_ing_b,impuesto_ing_b,ingreso_ing_b,abandono_ing_b
0,0,1,50,0.3,0,0.9,1,1,1,1,1,0,0,0,8284.4341,107081.0824,8284.4341,107081.0824,115365.5165,0.8291422410904457,353392.7992,388710.2046,1119350.4714,45.07856308799996,0.5345833115480001,19.376227619031496,18.84164430748349,0.5345833115480001,19.376227619031496,18.84164430748349,2050.0,2050.0,16.8155,16.8155,8.0405,8.0405,104676.6462,132902.8113,3114.4089,364115.1088,8055.726,104676.6462,132902.8113,3114.4089,364115.1088,8055.726
1,1,1,50,0.3,0,0.9,1,1,1,1,0,1,0,0,8284.4341,-49868.0496,8284.4341,-49868.0496,-41583.6155,0.0,590776.329,388710.2046,1214781.1814,38.81524348799997,0.5345833115480001,16.330176019643986,15.795592708095985,0.5345833115480001,16.330176019643986,15.795592708095985,2052.0,2052.0,22.9475,22.9475,15.9708,15.9708,92276.0752,140740.8085,0,201597.3443,10164.0761,92276.0752,140740.8085,0,201597.3443,10164.0761
2,2,1,50,0.3,0,0.9,1,1,1,1,0,0,1,0,8284.4341,-22803.1301,8284.4341,-22803.1301,-14518.696,0.0,786571.5811,388710.2046,1596650.6482,58.664967263999976,0.5345833115480001,25.198988246208113,24.664404934660112,0.5345833115480001,25.198988246208113,24.664404934660112,2053.0,2053.0,21.0371,21.0371,13.7627,13.7627,120569.982,174287.2997,0,292600.0003,12261.4145,120569.982,174287.2997,0,292600.0003,12261.4145
3,3,1,50,0.3,0,0.9,1,1,1,1,0,0,0,1,8284.4341,-39935.3909,8284.4341,-39935.3909,-31650.9568,0.0,376380.5652,388710.2046,860529.6908,21.78366081599998,0.5345833115480001,9.168009072698664,8.633425761150663,0.5345833115480001,9.168009072698664,8.633425761150663,2054.0,2054.0,28.0834,28.0834,18.1293,18.1293,53666.2193,56996.9789,0,81472.7379,2460.4965,53666.2193,56996.9789,0,81472.7379,2460.4965
4,4,1,50,0.3,0,0.9,1,1,1,1,1,1,1,1,8284.4341,-10867.5008,8284.4341,-10867.5008,-2583.0667,0.04896392015940014,2107121.2746,388710.2046,3625181.3778,158.9011663199999,0.5345833115480001,70.20360839467689,69.66902508312889,0.5345833115480001,70.20360839467689,69.66902508312889,2055.0,2055.0,19.5982,19.5982,13.1233,13.1233,295830.0526,504927.8984,35590.7551,858533.8645,24768.2252,295830.0526,504927.8984,35590.7551,858533.8645,24768.2252
5,5,1,50,0.3,0,1.1,1,1,1,1,1,0,0,0,8284.4341,78900.0489,8284.4341,78900.0489,87184.483,0.48572707490509465,431924.5324,388710.2046,1119350.4714,45.07856308799996,0.5345833115480001,19.376227619031496,18.84164430748349,0.5345833115480001,19.376227619031496,18.84164430748349,2050.0,2050.0,16.8155,16.8155,9.8273,9.8273,104676.6462,162436.7693,0,364115.1088,9817.2104,104676.6462,162436.7693,0,364115.1088,9817.2104
6,6,1,50,0.3,0,1.1,1,1,1,1,0,1,0,0,8284.4341,-83378.7684,8284.4341,-83378.7684,-75094.3343,0.0,722059.9577,388710.2046,1214781.1814,38.81524348799997,0.5345833115480001,16.330176019643986,15.795592708095985,0.5345833115480001,16.330176019643986,15.795592708095985,2052.0,2052.0,22.9475,22.9475,19.5199,19.5199,92276.0752,172016.5437,0,201597.3443,12399.0597,92276.0752,172016.5437,0,201597.3443,12399.0597
7,7,1,50,0.3,0,1.1,1,1,1,1,0,0,1,0,8284.4341,-64236.8545,8284.4341,-64236.8545,-55952.4204,0.0,961365.2658,388710.2046,1596650.6482,58.664967263999976,0.5345833115480001,25.198988246208113,24.664404934660112,0.5345833115480001,25.198988246208113,24.664404934660112,2053.0,2053.0,21.0371,21.0371,16.8211,16.8211,120569.982,213017.8108,0,292600.0003,14964.6279,120569.982,213017.8108,0,292600.0003,14964.6279
8,8,1,50,0.3,0,1.1,1,1,1,1,0,0,0,1,8284.4341,-53128.5764,8284.4341,-53128.5764,-44844.1423,0.0,460020.6908,388710.2046,860529.6908,21.78366081599998,0.5345833115480001,9.168009072698664,8.633425761150663,0.5345833115480001,9.168009072698664,8.633425761150663,2054.0,2054.0,28.0834,28.0834,22.158,22.158,53666.2193,69662.9742,0,81472.7379,2987.6867,53666.2193,69662.9742,0,81472.7379,2987.6867
9,9,1,50,0.3,0,1.1,1,1,1,1,1,1,1,1,8284.4341,-119886.7707,8284.4341,-119886.7707,-111602.3366,0.0,2575370.4467,388710.2046,3625181.3778,158.9011663199999,0.5345833115480001,70.20360839467689,69.66902508312889,0.5345833115480001,70.20360839467689,69.66902508312889,2055.0,2055.0,19.5982,19.5982,16.0396,16.0396,295830.0526,617134.098,26917.5815,858533.8645,30254.4691,295830.0526,617134.098,26917.5815,858533.8645,30254.4691
