,ID,E_Brent,Opt_Basica,PP,BR,AR,WO,NW,opt_C,opt_I,VPN_Basica_porta,VPN_incremental_porta,VPN_Basica,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,volumen_B_LE,volumen_I_LE,volumen_T_LE,volumen_B_LE_p,volumen_I_LE_p,volumen_T_LE_p,LE_year_p,LE_year_b,lc_p,lc_b,dc_p,dc_b,opex_ing_p,capex_ing_p,impuesto_ing_p,ingreso_ing_p,abandono_ing_p,opex_ing_b,capex_ing_b,impuesto_ing_b,ingreso_ing_b,abandono_ing_b
0,0,50,1,0.5700000000000001,0,1,1,0,1,1,391529.6741,56759.3428,363612.2938,84676.7231,448289.0169,10.708822847755721,25767.0176,8424079.401,8352093.2004,49.20266656794178,51.53443453386542,2.331767965923638,49.20266656794178,51.53443453386542,2.331767965923638,2037.0,2037.0,25.0225,25.0225,0.2152,0.2152,730195.3073,9043.6488,193003.6616,1380531.6347,0,0,0,0,0,0
1,1,60,1,0.5900000000000001,0,1,1,0,1,1,406171.7641,58037.6958,615670.1143,68335.5348,684005.6491,9.431013605985134,25767.0176,8424079.401,8352093.2004,61.14526068848048,63.55920154899093,2.413940860510447,50.92907592120289,53.34266030698351,2.413584385780625,2037.0,2044.0,25.0225,28.4648,0.2079,0.175,755816.1953,9043.6488,199902.0372,1428971.3411,0,0,0,0,0,0
2,2,70,1,0.5900000000000001,0,1,1,0,1,1,406171.7641,58037.6958,843532.169,66571.9502,910104.1192,9.685640410230283,25767.0176,8424079.401,8352093.2004,66.69787780882689,69.11181866933734,2.4139408605104546,50.92907592120289,53.34266030698351,2.413584385780625,2037.0,2049.0,25.0225,30.6694,0.2079,0.1612,755816.1953,9043.6488,199902.0372,1428971.3411,0,0,0,0,0,0
3,3,80,1,0.5900000000000001,0,1,1,0,1,1,406171.7641,58037.6958,1068413.5553,69941.8506,1138355.4059,10.495456855970389,25767.0176,8424079.401,8352093.2004,70.23795823489473,72.65189909540518,2.4139408605104546,50.92907592120289,53.34266030698351,2.413584385780625,2037.0,2053.0,25.0225,32.3656,0.2079,0.1535,755816.1953,9043.6488,199902.0372,1428971.3411,0,0,0,0,0,0
4,4,50,1,0.5700000000000001,0,1,1,0,1,0,391529.6741,56759.3428,363612.2938,84676.7231,448289.0169,10.708822847755721,25767.0176,8424079.401,8352093.2004,49.20266656794178,51.53443453386542,2.331767965923638,49.20266656794178,51.53443453386542,2.331767965923638,2037.0,2037.0,25.0225,25.0225,0.2152,0.2152,730195.3073,9043.6488,193003.6616,1380531.6347,0,0,0,0,0,0
5,5,60,1,0.5900000000000001,0,1,1,0,1,0,406171.7641,58037.6958,615670.1143,68335.5348,684005.6491,9.431013605985134,25767.0176,8424079.401,8352093.2004,61.14526068848048,63.55920154899093,2.413940860510447,50.92907592120289,53.34266030698351,2.413584385780625,2037.0,2044.0,25.0225,28.4648,0.2079,0.175,755816.1953,9043.6488,199902.0372,1428971.3411,0,0,0,0,0,0
6,6,70,1,0.5900000000000001,0,1,1,0,1,0,406171.7641,58037.6958,843532.169,66571.9502,910104.1192,9.685640410230283,25767.0176,8424079.401,8352093.2004,66.69787780882689,69.11181866933734,2.4139408605104546,50.92907592120289,53.34266030698351,2.413584385780625,2037.0,2049.0,25.0225,30.6694,0.2079,0.1612,755816.1953,9043.6488,199902.0372,1428971.3411,0,0,0,0,0,0
7,7,80,1,0.5900000000000001,0,1,1,0,1,0,406171.7641,58037.6958,1068413.5553,69941.8506,1138355.4059,10.495456855970389,25767.0176,8424079.401,8352093.2004,70.23795823489473,72.65189909540518,2.4139408605104546,50.92907592120289,53.34266030698351,2.413584385780625,2037.0,2053.0,25.0225,32.3656,0.2079,0.1535,755816.1953,9043.6488,199902.0372,1428971.3411,0,0,0,0,0,0
8,8,50,1,0.5700000000000001,0,1,1,0,0,1,391529.6741,24395.7188,363612.2938,52313.0991,415925.3929,0.0,0,8424079.401,8338993.9078,49.20266656794178,49.20266656794178,0.0,49.20266656794178,49.20266656794178,0.0,2037.0,2037.0,26.0737,26.0737,0,0,726816.3206,0,180400.6053,1323142.3188,0,0,0,0,0,0
9,9,60,1,0.5900000000000001,0,1,1,0,0,1,406171.7641,24347.5023,615670.1143,26225.8712,641895.9855,0.0,0,8424079.401,8338993.9078,61.14526068848048,61.14526068848048,0.0,50.92907592120289,50.92907592120289,0.0,2037.0,2044.0,26.0737,29.4795,0,0,752318.6476,0,186730.4511,1369568.3651,0,0,0,0,0,0
