,ID,E_Brent,PP,BR,AR,WO,NW,opt_C,opt_I,capex_h,opex_h,produc_h,VPN_Basica_porta,VPN_incremental_porta,VPN_Basica,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,volumen_B_LE,volumen_I_LE,volumen_T_LE,volumen_B_LE_p,volumen_I_LE_p,volumen_T_LE_p,LE_year_p,LE_year_b,lc_p,lc_b,dc_p,dc_b,opex_ing_p,capex_ing_p,impuesto_ing_p,ingreso_ing_p,abandono_ing_p,opex_ing_b,capex_ing_b,impuesto_ing_b,ingreso_ing_b,abandono_ing_b
0,0,50,0.5700000000000001,0,1,1,0,1,1,0.9,1,1,393113.5154,32859.9166,393113.5154,32859.9166,425973.432,5.635778669985909,23190.3159,8424119.7812,8437219.0401,49.20491385283068,51.53664953430229,2.3317356814716113,49.20491385283068,51.53664953430229,2.3317356814716113,2038.0,2038.0,24.9632,24.9632,0.1937,0.1937,728405.2761,8139.2839,192371.4005,1380659.282,25769.8895,728405.2761,8139.2839,192371.4005,1380659.282,25769.8895
1,1,50,0.5700000000000001,0,1,0,1,1,1,0.9,1,1,393113.5154,22449.3468,393113.5154,22449.3468,415562.8622,0.6136895657826554,134795.0444,8424119.7812,8762743.3595,49.20491385283068,53.36065317014273,4.155739317312051,49.20491385283068,53.36065317014273,4.155739317312051,2038.0,2038.0,24.9179,24.9179,1.0874,1.0874,747101.4826,43614.2603,183677.8245,1417384.7142,27428.2847,747101.4826,43614.2603,183677.8245,1417384.7142,27428.2847
2,2,50,0.5700000000000001,1,0,1,0,1,1,0.9,1,1,393113.5154,57151.3938,393113.5154,57151.3938,450264.9092,3.1841567363311607,67192.4537,8424119.7812,8445349.5005,49.20491385283068,53.225004588971835,4.020090736141159,49.20491385283068,53.225004588971835,4.020090736141159,2038.0,2038.0,24.2411,24.2411,0.5432,0.5432,731413.0815,24633.6409,200648.8378,1432730.359,25769.8895,731413.0815,24633.6409,200648.8378,1432730.359,25769.8895
3,3,50,0.5700000000000001,1,0,0,1,1,1,0.9,1,1,393113.5154,71499.7042,393113.5154,71499.7042,464613.2196,1.9000059147777553,121430.6182,8424119.7812,8732850.81,49.20491385283068,57.33981624381729,8.134902390986609,49.20491385283068,57.33981624381729,8.134902390986609,2039.0,2039.0,24.4856,24.4856,0.9111,0.9111,768142.1524,50809.6097,204401.3109,1512911.983,24945.6904,768142.1524,50809.6097,204401.3109,1512911.983,24945.6904
4,4,50,0.5700000000000001,0,1,1,0,1,1,1.1,1,1,393113.5154,31756.8997,393113.5154,31756.8997,424870.415,4.429118700918378,28343.7194,8424119.7812,8437219.0401,49.20491385283068,51.53664953430229,2.3317356814716113,49.20491385283068,51.53664953430229,2.3317356814716113,2038.0,2038.0,24.9632,24.9632,0.2367,0.2367,728405.2761,9948.0137,191665.6877,1380659.282,25769.8895,728405.2761,9948.0137,191665.6877,1380659.282,25769.8895
5,5,50,0.5700000000000001,0,1,0,1,1,1,1.1,1,1,393113.5154,16112.1535,393113.5154,16112.1535,409225.6689,0.3133768547625024,164749.4987,8424119.7812,8762743.3595,49.20491385283068,53.36065317014273,4.155739317312051,49.20491385283068,53.36065317014273,4.155739317312051,2038.0,2038.0,24.9179,24.9179,1.329,1.329,747101.4826,53306.3181,179954.4276,1417384.7142,27796.8169,747101.4826,53306.3181,179954.4276,1417384.7142,27796.8169
6,6,50,0.5700000000000001,1,0,1,0,1,1,1.1,1,1,393113.5154,53818.2568,393113.5154,53818.2568,446931.7721,2.4234215029204624,82124.1101,8424119.7812,8445349.5005,49.20491385283068,53.225004588971835,4.020090736141159,49.20491385283068,53.225004588971835,4.020090736141159,2038.0,2038.0,24.2411,24.2411,0.6639,0.6639,731413.0815,30107.7834,198507.8324,1432730.359,25769.8895,731413.0815,30107.7834,198507.8324,1432730.359,25769.8895
7,7,50,0.5700000000000001,1,0,0,1,1,1,1.1,1,1,393113.5154,64038.3293,393113.5154,64038.3293,457151.8446,1.3673020992161362,148415.2,8424119.7812,8732850.81,49.20491385283068,57.33981624381729,8.134902390986609,49.20491385283068,57.33981624381729,8.134902390986609,2039.0,2039.0,24.4856,24.4856,1.1135,1.1135,768142.1524,62100.6341,200234.213,1512911.983,25283.1389,768142.1524,62100.6341,200234.213,1512911.983,25283.1389
8,8,50,0.5700000000000001,0,1,1,0,1,1,1,0.9,1,433002.5122,32385.4762,433002.5122,32385.4762,465387.9884,5.009455835599572,25767.0176,8057472.1446,8069261.4776,52.31350278635572,54.645582858668014,2.3320800723122956,52.31350278635572,54.645582858668014,2.3320800723122956,2040.0,2040.0,24.2445,24.2445,0.203,0.203,703530.9286,9043.6488,207518.6889,1406778.684,21297.4293,703530.9286,9043.6488,207518.6889,1406778.684,21297.4293
9,9,50,0.5700000000000001,0,1,0,1,1,1,1,0.9,1,433002.5122,21948.7728,433002.5122,21948.7728,454951.2851,0.5508494518381745,149772.2715,8057472.1446,8362233.365,52.31350278635572,58.22361070293065,5.910107916574932,52.31350278635572,58.22361070293065,5.910107916574932,2041.0,2041.0,24.6658,24.6658,1.1083,1.1083,732975.5806,48460.2892,199344.0381,1456476.911,20745.7181,732975.5806,48460.2892,199344.0381,1456476.911,20745.7181
10,10,50,0.5700000000000001,1,0,1,0,1,1,1,0.9,1,433002.5122,55513.4595,433002.5122,55513.4595,488515.9717,2.7890877444502804,74658.2819,8057472.1446,8076578.892,52.31350278635572,56.33359352249688,4.020090736141159,52.31350278635572,56.33359352249688,4.020090736141159,2040.0,2040.0,23.5765,23.5765,0.5704,0.5704,706237.3123,27370.7122,215425.3076,1458846.7332,21297.4293,706237.3123,27370.7122,215425.3076,1458846.7332,21297.4293
11,11,50,0.5700000000000001,1,0,0,1,1,1,1,0.9,1,433002.5122,69417.6957,433002.5122,69417.6957,502420.2079,1.6683500328185825,134922.9091,8057472.1446,8335330.0705,52.31350278635572,60.528225778797854,8.214722992442134,52.31350278635572,60.528225778797854,8.214722992442134,2041.0,2041.0,23.752,23.752,0.9597,0.9597,738259.523,56455.1219,219367.6519,1537258.2194,20755.7146,738259.523,56455.1219,219367.6519,1537258.2194,20755.7146
12,12,50,0.5700000000000001,0,1,1,0,1,1,1,1.1,1,353567.7036,34638.7405,353567.7036,34638.7405,388206.4441,5.23163662589638,25767.0176,8790767.4178,8805176.6026,45.78412129985101,49.85839889287817,4.07427759302716,45.78412129985101,49.85839889287817,4.07427759302716,2037.0,2037.0,26.0923,26.0923,0.2224,0.2224,761613.8161,9043.6488,177218.5061,1364429.2936,28346.8784,761613.8161,9043.6488,177218.5061,1364429.2936,28346.8784
13,13,50,0.5700000000000001,0,1,0,1,1,1,1,1.1,1,353567.7036,20215.1415,353567.7036,20215.1415,373782.8451,0.45169348080493193,149772.2715,8790767.4178,9163253.3539,45.78412129985101,51.57065668561253,5.7865353857615265,45.78412129985101,51.57065668561253,5.7865353857615265,2037.0,2037.0,26.0661,26.0661,1.2499,1.2499,781240.8668,48460.2892,166216.2496,1400074.0566,30373.8059,781240.8668,48460.2892,166216.2496,1400074.0566,30373.8059
14,14,50,0.5700000000000001,1,0,1,0,1,1,1,1.1,1,353567.7036,55516.1014,353567.7036,55516.1014,409083.805,2.7407169259678206,74658.2819,8790767.4178,8814120.1091,45.78412129985101,49.79842153382194,4.0143002339709275,45.78412129985101,49.79842153382194,4.0143002339709275,2036.0,2036.0,24.7267,24.7267,0.6448,0.6448,746215.9452,27370.7122,184042.3866,1397894.4153,31181.5663,746215.9452,27370.7122,184042.3866,1397894.4153,31181.5663
15,15,50,0.5700000000000001,1,0,0,1,1,1,1,1.1,1,353567.7036,66246.3634,353567.7036,66246.3634,419814.0671,1.5459359952975953,134922.9091,8790767.4178,9130371.5495,45.78412129985101,53.821535196345934,8.037413896494924,45.78412129985101,53.821535196345934,8.037413896494924,2037.0,2037.0,25.0584,25.0584,1.078,1.078,788162.7634,56455.1219,185571.7782,1480392.1723,30388.4418,788162.7634,56455.1219,185571.7782,1480392.1723,30388.4418
16,16,50,0.5700000000000001,0,1,1,0,1,1,1,1,0.9,393113.5154,28528.7068,393113.5154,28528.7068,421642.2222,4.375442605924992,25767.0176,8424119.7812,8435909.1142,49.20491385283068,51.30375033112669,2.0988364782960125,49.20491385283068,51.30375033112669,2.0988364782960125,2038.0,2038.0,25.0637,25.0637,0.2162,0.2162,728067.3818,9043.6488,190404.5107,1374927.653,25769.8895,728067.3818,9043.6488,190404.5107,1374927.653,25769.8895
